country_id,bronze_id
US,126
CHN,91
GBG,65
FRA,64
AUS,53
JPN,45
ITA,40
NED,34
GER,33
KOR,32
CAN,27
BRZ,20
NZ,20
HUN,19
SPA,18
UZB,13
IRN,12
UKR,12
SWE,11
KEN,11
